date,balance
2013-07-11,218655500703.0
2013-07-12,219744097619.0
2013-07-15,221294215212.0
2013-07-16,223567564422.0
2013-07-17,224124520786.0
2013-07-18,225827277627.0
2013-07-19,224767000586.0
2013-07-22,226127776995.0
2013-07-23,227092360155.0
2013-07-24,228420570392.0
2013-07-25,228450552495.0
2013-07-26,227915950368.0
2013-07-29,228601196261.0
2013-07-30,228498070701.0
2013-07-31,228413775374.0
2013-08-01,228937725599.0
2013-08-02,228150905301.0
2013-08-05,229286386393.0
2013-08-06,230087842755.0
2013-08-07,230681559271.0
2013-08-08,232461664709.0
2013-08-09,232676081788.0
2013-08-12,232898037365.0
2013-08-13,234725075506.0
2013-08-14,235324923190.0
2013-08-15,236194989154.0
2013-08-16,237224300187.0
2013-08-19,237827284782.0
2013-08-20,238876524269.0
2013-08-21,240388030890.0
2013-08-22,240912798161.0
2013-08-23,240820628708.0
2013-08-26,242561543689.0
2013-08-27,245043265195.0
2013-08-28,247706808395.0
2013-08-29,249821553386.0
2013-08-30,248480052999.0
2013-09-02,250460610855.0
2013-09-03,250305246457.0
2013-09-04,251317220955.0
2013-09-05,253152905703.0
2013-09-06,254011177588.0
2013-09-09,258203470374.0
2013-09-10,262554834780.0
2013-09-11,264429314423.0
2013-09-12,268700696108.0
2013-09-13,270150024397.0
2013-09-16,274140761867.0
2013-09-17,276776027734.0
2013-09-18,275692323304.0
2013-09-23,279739043629.0
2013-09-24,282912760440.0
2013-09-25,284977727054.0
2013-09-26,286454303870.0
2013-09-27,285929842308.0
2013-09-30,282713174210.0
2013-10-08,288454769120.0
2013-10-09,292823231149.0
2013-10-10,296801270379.0
2013-10-11,299153687783.0
2013-10-14,303021891378.0
2013-10-15,306308945535.0
2013-10-16,306668500302.0
2013-10-17,307389240338.0
2013-10-18,306802634707.0
2013-10-21,309738302614.0
2013-10-22,311322452571.0
2013-10-23,311364196109.0
2013-10-24,312316244200.0
2013-10-25,312079659969.0
2013-10-28,312721634146.0
2013-10-29,310533526564.0
2013-10-30,311096858519.0
2013-10-31,310963082249.0
2013-11-01,308758073075.0
2013-11-04,309639756524.0
2013-11-05,310371346406.0
2013-11-06,310670101853.0
2013-11-07,310725211997.0
2013-11-08,309912947917.0
2013-11-11,309641364647.0
2013-11-12,308960745651.0
2013-11-13,307669611945.0
2013-11-14,307991918973.0
2013-11-15,308531464320.0
2013-11-18,311155518790.0
2013-11-19,313273045635.0
2013-11-20,315638893803.0
2013-11-21,316972378863.0
2013-11-22,316709745944.0
2013-11-25,318066105023.0
2013-11-26,319732786570.0
2013-11-27,321590217219.0
2013-11-28,322759028570.0
2013-11-29,323461692146.0
2013-12-02,323557823957.0
